Review,Sentiment,Sentiment Score,Main Issue,Issue Score
This DVD seemed to display all of my favorite Gordon Lightfoot songs in a well- orchestrated order that flowed flawlessl,Positive,0.807,Product Quality Issue,0.326
River Season is a snapshot of growing up in Small Town America that keeps you captured from page 1. It is heart warming ,Positive,0.99,Pricing Issue,0.294
I have LOVED this toothbrush. I even bought the kids their own. No messy tooth paste in the sink and on the counter. Thi,Positive,0.99,Customer Service Issue,0.251
What crap is this? Releasing albums like this is what started Michael Bolton's carrerr. This was just painful to listen ,Negative,0.985,Product Quality Issue,0.308
If you are looking to scare your clients from never drinking this video will do just that and incite some PTSD !,Negative,0.968,Delivery Problem,0.343
When I purchased this book I was in the process of upgrading several Websphere servers from 3.5 to 4.0. I was looking fo,Negative,0.957,Customer Service Issue,0.223
This assortment should be sufficient for most folks around the house. I have purchased these as gifts and they have been,Positive,0.926,Product Quality Issue,0.418
Everything was good. shipped fast. it was exactly like described. i would buy from them again.,Positive,0.987,Product Quality Issue,0.418
Works... doesn't seem like the sharpest blade in the world. Like the styptic and file being in the handle to keep everyt,Negative,0.979,Performance Issue,0.416
Last update: Monday.Today: Wednesday.This isn't a great way to get your news. It is a great way to see what happened two,Positive,0.734,Performance Issue,0.189
"Trollope is addictive, but some of his books offer more nonstop entertainment than others, and this is one of those.",Positive,0.961,Battery Issue,0.225
it is time for Jessica to sing songs that fits a woman. This bubblegum type of music is just horrendous. The lyrics are ,Negative,0.982,Product Quality Issue,0.344
I'm usually a big fan of vamp books with a good twist of humor but I can't quite get into this series. Just too superfic,Negative,0.98,Product Quality Issue,0.339
"The remote was set up exactly as instructed, and as other users articulated, we couldn't get it to work. The ""customer s",Negative,0.986,Customer Service Issue,0.82
This book is a good start for those who want to work on the guts of their own mud. The target audience seems to be accom,Positive,0.952,Delivery Problem,0.237
"I've been buying ON's products for well over a year now and have been very happy with them. In fact, when I shop for pro",Negative,0.987,Delivery Problem,0.367
"There are oodles of glowing reviews of this book, you don't need to read another. All you need to know is that this book",Positive,0.974,Product Quality Issue,0.178
"I've read both Darwin's Radio and its successor, Darwin's Children. The real star of the show here is the evolutionary c",Negative,0.925,Performance Issue,0.349
'Please Forgive Me' by UK artist David Gray. '..Till we see Him in world without AI end...? HE GOES ON. '...Tell people ,Positive,0.983,Performance Issue,0.478
This radio has good sound and plays CDs great but its FM reception is horrible. If you have flourescent lights anywhere ,Negative,0.981,Customer Service Issue,0.294
This book was a beautiful love story of a true American Hero. G.I. Joe was a very lucky man to have such an loving and u,Positive,0.99,Performance Issue,0.27
My puppy loves this little toy -- I just wish it were brown instead of grey -- it looks too much like a mouse!,Positive,0.864,Product Quality Issue,0.472
Where do i begin? From the word go stabbing westward's darkest days hits you like a punch in the face. It's the most ama,Positive,0.987,Product Quality Issue,0.222
All of Marly's books are great..I just wish there were more books to read! I have to say I have several authors on Ellor,Positive,0.988,Product Quality Issue,0.228
"In April 2003 (six months before this writing) I was dimly aware that I was running out of CD-Rs, and so when Amazon's f",Negative,0.904,Product Quality Issue,0.285
I bought this for my 1 1/2 year old to wear while we were in Hawaii on vacation. It provided lots of sun protection - fo,Positive,0.989,Product Quality Issue,0.361
Excellent Book for the casual or just sorta interested in physics type of person. was very easy to read and explained th,Positive,0.991,Battery Issue,0.239
"Good size and quality, however, it was the wrong flag. Rather than getting the USSR flag, I got a United States Marine C",Negative,0.97,Product Quality Issue,0.546
"I, too, like one of the other reviewers, had trouble with the S-video connects: both were bad. Took it back for another,",Negative,0.986,Pricing Issue,0.586
We were running to the park last night and I stopped in the grocery store for a few snacks to bring along. I bought a 5-,Negative,0.971,Delivery Problem,0.21
Emmet Fox always presents a new way of looking at life. The truth really will set you free.,Positive,0.987,Delivery Problem,0.206
"Buy it! If you have any interest at all in how your guitar amplifier works, you need this book - I can't recommend it an",Positive,0.991,Delivery Problem,0.279
I enjoyed this book. It gave some very practical advice on creating a workshop environment for writing in the Intermedia,Positive,0.989,Performance Issue,0.226
After so many years of being without Indiana Jones it would seem that they would have thought more on the topic of their,Negative,0.984,Pricing Issue,0.435
Extremely easy to read and understand. The section on charts is exceptional!,Positive,0.991,Performance Issue,0.194
"I purchased this a day ago, and did lose boredom instantly and got hooked.Galaga, etc. are all my classical favourites!I",Positive,0.975,Performance Issue,0.316
I was diagnosed with coeliac/celiac (spelling depends on which side of the Atlantic you are on) as an infant. Inadvertan,Negative,0.947,Performance Issue,0.307
"Harrison-Pepper's descriptions of the performances and players of Washington Square are top-rate, but it's with her anal",Positive,0.989,Performance Issue,0.323
"This DVD is a great example of how Hilary gets by on her looks. Includes making and videos of ""So Yesterday""/""Why Not"", ",Positive,0.97,Product Quality Issue,0.487
"Print quality is fine, but holy moly, you can maybe get 100 pages out of each cartridge. I'm changing them very frequent",Negative,0.826,Product Quality Issue,0.371
If there was a rating of less than 1 star- or actually negative number of stars- this movie is worthy. A friend claimed ,Positive,0.781,Pricing Issue,0.228
Love this book! I tried the easiest ball and it only took me about 2 hours to complete. I stitched it by hand. Fun and a,Positive,0.992,Performance Issue,0.204
I ordered this SO CALLED Honey Powder from BARRY FARMS ~ it is a FRAUD !! It is not HONEY POWDER. It isWHEAT with someth,Negative,0.98,Delivery Problem,0.314
I bought this system b/c of the raves review given by the users and the JVC brand. I was disappointed after unpacking an,Negative,0.986,Product Quality Issue,0.414
"burn after waching is more like it. or maybe burn before watching, would be even better. there was lots of hype about th",Positive,0.964,Product Quality Issue,0.383
"The button labels on this watch are so small, I simply could not even read them. The picture of the watch on this site m",Negative,0.982,Product Quality Issue,0.391
"Van Damme needs to stay in Israel and never come back after this movie. Charlton Heston of all people, makes a horrible ",Negative,0.981,Performance Issue,0.285
